caption,ownerFullName,ownerUsername,url,commentsCount,firstComment,likesCount,timestamp,queryTag
"⚠️ En Medellín queremos buenos turistas: personas que cuiden, respeten y valoren nuestra cultura. No quienes vienen a estigmatizar o a dañar ⚠️

#Turismosostenible #turismomedellin #turismoresponsable",Daniel Carvalho,davalho,https://www.instagram.com/p/DRCregTEXdt/,5945,Si uno ya va a el parque lleras el 90% de las mujeres que se ven son trabajadoras sexuales el otro 10% son vendedoras ambulantes y del del 100% de los turistas el 99% están allá es para buscar trabajadoras sexuales y drogarse hasta más no poder y el otro 1% va a ver en qué parte es donde se consiguen las drogas para avisarle al resto,85906,2025-11-14T15:41:25.000Z,
"¡Vamos con toda contra el ruido este año!

¿Sabías que las motos con exostos modificados son de las mayores fuentes y quejas del ruido?  Con esta Ley habrá un mayor control. En este video te contamos qué les puede pasar a los moteros ruidosos. 👀

¿Qué otras preguntas  tienes sobre la Ley contra el ruido? Escríbenos. 👇",Daniel Carvalho,davalho,https://www.instagram.com/p/DFEZOwtxfZ-/,2869,"Hola camilo, soy esther la tía de David, y los pitos también?",15167,2025-01-21T01:10:04.000Z,
"¿Tu vecino hace demasiado ruido? La nueva Ley contra el Ruido te respalda. Aquí algunas recomendaciones de cómo actuar. ¡No dejes que te afecte, conoce tus derechos!

#Colombia #Ley #Ruido #LeyContraElRuido",Daniel Carvalho,davalho,https://www.instagram.com/p/DFf7H91RBR0/,1637,Baaa nunca van está ley es puro popo,8067,2025-01-31T17:46:00.000Z,
"🔴 Si esto hizo en Medellín, imagínense lo que podría hacer en Colombia. Por esto, y mucho más, en Antioquia no queremos a Quintero. Ojo pues. 

Cuéntanos en los comentarios si quieres saber más 💩 del exalcalde tóxico 👇🏽",Daniel Carvalho,davalho,https://www.instagram.com/p/DPEDwcSkdDj/,873,@quinterocalle a ese tipo no lo quiere ni la.madre..... con decirle que ni el perro q tienen se.lo aguanta..... mucho 🤬🤬🤬🤬🤬,21695,2025-09-26T11:23:16.000Z,
"¡Es Ley! 💚

Gracias al liderazgo y al trabajo de la senadora @andreanimalidad, la educación para la protección de los animales y la biodiversidad será una realidad en todos los colegios de Colombia.

Una generación que aprende a cuidar, es una generación que protege y conoce la naturaleza. 

🌳🐈‍⬛🐿️

#LeyEmpatía",Camilo Quintero Giraldo,camideambiente,https://www.instagram.com/p/DQcy6C0ErUW/,850,Un ejemplo para el mundo!!!,7813,2025-10-30T22:29:14.000Z,
"Acompáñanos a desmentir algunos de los mitos más comunes que nos llegan por redes sobre la #LeycontraelRuido.

Cuéntanos en los comentarios cuál otro mito tienes y lo respondemos 👀👇🏽",Daniel Carvalho,davalho,https://www.instagram.com/p/DKjxmljM8vA/,663,@elitaguiseno @alcaldiadeitagui @leonmariobedoyalopez @diegotorresitagui,5820,2025-06-06T12:18:26.000Z,
"¡Estamos felices! Hoy el @senadocolombia aprobó en último debate la #LeyContraElRuidoYA. Un gran paso hacia territorios más serenos y saludables. Mi reconocimiento y agradecimiento al asesor y coordinador de este proceso @camilo_giraldo_quintero.

Un agradecimiento especial a @andreanimalidad, @angelicalozano10, @delacallesenado, @alejandrogarciapei, @cris.avendano y @carogirabo por su dedicación y buen trabajo en este arduo proceso legislativo.

Gracias infinitas a todas las personas que apoyaron esta iniciativa que transformará la vida de millones de colombianos. ¡Seguiremos trabajando para garantizar su cumplimiento en todo el país!",Daniel Carvalho,davalho,https://www.instagram.com/p/DDa2kaBRLz5/,352,"Pueden venir a Medellín La Aurora (ciudadela nuevo occidente) en la Calle 63b en los edificios hacen demasiado ruido todos los días, son viviendas de interés social VIS pero en vez de traer paz y calma de volvió un infierno con tanto vecino ruidoso, muchos niños han perdido clases por no dormir bien, muchos han tenido problemas de rendimiento en sus trabajos por no dormir bien, muchos problemas de salud por vecinos que les preocupa más tener un bafle que arreglar sus apartamentos, sería bueno que vinieran a revisar quienes si viven en sus respectivas viviendas entregadas por el @isvimed y quiénes las arrendaron a vecinos ruidos, la @policiadecolombia @policiamedellin_ Policía de San Cristóbal nunca atienden los llamados, sería bueno que llegarán pero no haciendo pedagogía sino multando y quitando bafles. Esperamos que con esta ley podamos lograr dormir en paz.",2411,2024-12-11T02:27:08.000Z,
"¿Estás lidiando con un vecino bulloso? Te queremos ayudar…

Todos los días nos llegan mensajes de muchas partes del país con denuncias por ruido. La verdad, no damos abasto para responder uno por uno…

Pero sabemos que el problema es real y que todavía hay muchos retos para que se cumpla bien la #LeycontraelRuido. 

Por eso estamos trabajando con la Policía, las alcaldías y otras autoridades para que conozcan y usen las herramientas que la ley ya les da para controlar y, si es necesario, sancionar a quienes generan contaminación por ruido.

Desde ya, gracias a los artículos 18 al 22 de la ley, la Policía, el tránsito y las autoridades locales pueden intervenir, controlar y sancionar el ruido.

👉🏽Y si no sabes por dónde empezar… creamos un formato de queja por ruido que puedes presentar de forma anónima o junto con tus vecinos. ¡Es oficial y funciona!

👀 Encuentra el formato escaneando el QR o en el enlace de nuestro perfil.",Daniel Carvalho,davalho,https://www.instagram.com/p/DK9rbhps-xg/,343,"Estamos solos pues se llama a la policía y no acuden ,y si acuden es para recibir el soborno de los vecinos brillosos y el ruido sigue igual o peor es lo que sucede en mi cuadra con unos de unos ruidoso que todos los fines de semana sacan el equipo a la calle. Cierran la cuadra y hacen escándalo toda la noche y al día siguiente y se llama a la policía y nunca aparecen!😡😡😡😡😡",3289,2025-06-16T13:54:59.000Z,
"¡Porque ustedes lo pidieron! Segunda parte de las 💩 de Quintero en Medellín.

Ayúdanos a contarle a toda Colombia por qué en Antioquia no lo queremos.

Comparte y hagamos que se sepa la verdad.",Daniel Carvalho,davalho,https://www.instagram.com/p/DPoSYm1Eeck/,329,👏👏👏👏👏,6921,2025-10-10T13:00:03.000Z,
"Rechazamos la iniciativa del gobierno Petro de imponer una retención en la fuente del 1,5% a las billeteras digitales, incumpliendo la promesa de gratuidad del servicio y afectando a millones de colombianos.

Bre-b nació para impulsar la inclusión financiera, permitiendo enviar y recibir dinero sin costo.

La medida liderada por el Ministerio de Hacienda @minhacienda aplicaría para transacciones que se hagan por ventas de bienes y servicios. 

Este impuesto frenaría la innovación, afectando el bolsillo de quienes menos tienen.",Daniel Carvalho,davalho,https://www.instagram.com/p/DQKmXxpj1Zv/,235,"@93gabriel_g 🤚🏻🤚🏻🤚🏻gracias, pero q más se puede esperar.......",1802,2025-10-23T20:44:42.000Z,
